id,label,smi
t_neg_12,1,CC[C@H](CO)NCCN[C@H](CC)CO
t_neg_14,1,CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1)c1ccccc1S2
t_neg_15,1,COc1ccc2[nH]c([S@](=O)Cc3ncc(C)c(OC)c3C)nc2c1
t_neg_16,1,Cc1onc(-c2ccccc2)c1C(=O)N[C@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12
t_neg_18,1,CC1(C)S[C@@H]2[C@@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
t_neg_26,1,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1
t_neg_28,1,O=C(c1ccccc1)c1ccc2n1CC[C@H]2C(=O)O
t_neg_29,1,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
t_neg_31,1,CC(=O)N[C-]1C(I)C(NC(C)=O)C(I)C(C(=O)O)C1I
t_neg_33,1,O=S(=O)([O-])CCS
t_neg_32,1,NC(=[NH2])NC[C@H]1COC2(CCCCC2)O1
test_pos_1,0,O=[N+]([O-])c1cc[nH]c1NCCSCc1ccccn1
test_pos_4,0,CC(=O)NCCCOc1cccc(CN2CCCCC2)c1
test_pos_5,0,O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1
test_pos_6,0,OCCCOc1cccc(CN2CCCCC2)c1
test_pos_11,0,CNCCc1ccccn1
test_pos_14,0,S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1
test_pos_18,0,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
test_pos_22,0,CC(C)O
test_pos_25,0,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2O
test_pos_29,0,Cn1c(=O)c2nc[nH]c2n(C)c1=O
test_pos_37,0,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
test_pos_38,0,Cc1cc(=O)n(-c2ccccc2)n1C
test_pos_49,0,CCC(C)=O
test_pos_50,0,Cn1c(=O)c2c(ncn2C)n(C)c1=O
test_pos_51,0,NC(=O)N1c2ccccc2C2OC2c2ccccc21
test_pos_52,0,O=NN(CCCl)C(=O)NCCCl
test_pos_70,0,CCO
test_pos_74,0,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
test_pos_85,0,CC(C)Cc1ccc(C(C)C(=O)O)cc1
test_pos_88,0,NNC(=O)c1ccncc1
test_pos_89,0,CC(C)c1nc(-c2ncn3c2CN(C)C(=O)c2c(Cl)cccc2-3)no1
test_pos_92,0,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
test_pos_97,0,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
test_pos_105,0,C=CCC(N)c1ccccc1-c1noc2ccccc12
test_pos_108,0,Cn1c(=O)[nH]c2ncn(C)c2c1=O
test_pos_112,0,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
test_pos_113,0,CC(C)NCC(O)COc1cccc2[nH]ccc12
test_pos_118,0,CCCO
test_pos_119,0,CC(C)=O
test_pos_125,0,CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O
test_pos_128,0,O=C(O)CNC(=O)c1ccccc1O
test_pos_135,0,CCCN(CCC)CCc1ccc(O)c2c1CC(=O)N2
test_pos_136,0,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
test_pos_137,0,Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O
test_pos_139,0,Nc1c2c(nc3ccccc13)CCCC2
test_pos_141,0,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
test_pos_142,0,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
test_pos_151,0,NC(N)=O
test_pos_153,0,Nc1ccn(C2CCC(CO)O2)c(=O)n1
5280378,0,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
6199,0,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21
6819,0,CCCCOC(=O)COC(=O)C1=CC=CC=C1C(=O)OCCCC
164676,0,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
10114,0,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
5280448,0,COC1=C(C=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O
12456,0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC.[Cl-]
72321,0,C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6.[Cl-]
10146,0,CN1CCC2=CC(=C(C3=C2C1CC4=CC=CC=C43)OC)OC
10658,0,C1=CC2=C(C=CO2)C3=C1C=CC(=O)O3
638278,0,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
115269,0,C1CC2CN3C(CC=CC3=O)C4C2N(C1)CCC4
14982,0,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C
B3DB_5,1,CN1CC[C@]23c4c5ccc(OC6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
B3DB_7,1,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5
B3DB_16,1,c1ccc(NC2=NCCN2)cc1
B3DB_17,1,Cc1ccc(CC2CNC(NCCCCc3ncc(Br)cc3C)NC2=O)cn1
B3DB_27,1,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
B3DB_29,1,C=CCc1cccc(/C=N\NC(=O)CN2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)c1O
B3DB_33,1,O=C(O)c1nc2ccc(C(F)(F)F)cc2nc1NCc1ccc(C(F)(F)F)cc1
B3DB_34,1,CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(COS(=O)(=O)O)C(O)C(O)C2O)C1O
B3DB_36,1,NC(N)=Nc1nc(-c2ccc(O)c(O)c2)cs1
B3DB_40,1,CCNc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
B3DB_43,1,NCC(CC(=O)O)c1ccc(Cl)cc1
B3DB_44,1,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
B3DB_47,1,Nc1ccn([C@@H]2CC[C@@H](CO)O2)c(=O)n1
B3DB_48,1,CN[C@H]1C(=O)N[C@@H]2Cc3ccc(cc3)Oc3cc4cc(c3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCCCC(C)C)Oc3ccc(cc3Cl)[C@@H](O)[C@@H]3NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@@H](NC2=O)c2cc(cc(O)c2Cl)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc(O)cc1[C@@H](C(=O)NCCCN(C)C)NC3=O
B3DB_52,1,CN=C(NC#N)NCCSCC1=NC=NC1C
B3DB_55,1,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12
B3DB_57,1,CCCn1c(=O)c2[nH]c([C@H]3CCC(=O)C3)nc2n(CCC)c1=O
B3DB_58,1,COC(=O)Nc1nc2ccc(C(=O)N3CCN(c4ccccn4)CC3)cc2[nH]1
B3DB_60,1,NCc1c[n+]2ccccc2[nH]1
B3DB_61,1,Nc1ccc(C(=O)O)cc1
B3DB_63,1,Cc1ccccc1N=C1N(C)CCN1C
B3DB_64,1,Cc1ccccc1NC1=NCCN1
B3DB_68,1,O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1
B3DB_71,1,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
B3DB_76,1,Cc1ccc(N=C2N(C)CCN2C)c(C)c1
B3DB_77,1,Cc1ccc(NC2=NCCN2)c(C)c1
B3DB_79,1,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl
B3DB_82,1,Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
B3DB_84,1,O=c1[nH]cnc2c1ncn2[C@@H]1CC[C@H](CO)O1
B3DB_87,1,COc1ccc2c(c1)C(CC(=O)O)C(C)N2C(=O)c1ccc(Cl)cc1
B3DB_88,1,COc1ccc2c(c1)[C@@H](CC(=O)O)[C@H](C)N2C(=O)c1ccc(Cl)cc1
B3DB_93,1,CN=C(C[N+](=O)[O-])NCCCSc1ccc(CN(C)C)o1
B3DB_94,1,CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
B3DB_97,1,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)C(C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
B3DB_104,1,CC(=O)Oc1ccc(/C=C/C(=O)NCCc2ccccc2)cc1OC(C)=O
B3DB_109,1,CCCCCCCCCCCCCCCCOP(=O)(O)OCC[N+](C)(C)C
B3DB_110,1,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1
B3DB_128,1,CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12
B3DB_131,0,CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2
B3DB_135,0,CN(C)C(=O)Cn1nc(-c2c(-c3ccccc3)nn3ccccc23)ccc1=O
B3DB_136,0,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O
B3DB_137,0,COC(=O)C1C(=O)C=C(Nc2cccc([N+](=O)[O-])c2)CC1C
B3DB_138,0,COC(=O)[C@@H]1C(=O)C=C(Nc2cccc([N+](=O)[O-])c2)C[C@H]1C
B3DB_142,0,Cc1cc2ccccc2n1CCNC(=O)/C=C/c1ccc(OCCO)c(OCCO)c1
B3DB_144,0,Clc1cccc(C(c2ccc3nc[nH]c3c2)n2ccnc2)c1
B3DB_145,0,O=C(O)CCCCO/N=C(\c1cccnc1)c1cccc(C(F)(F)F)c1
B3DB_150,0,COC(=O)C1C(=O)C=C(Nc2ccc(Cl)cc2)CC1C
B3DB_154,0,CCS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1
B3DB_156,0,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
B3DB_159,0,COc1ccc(C(C)(C)O)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1
B3DB_161,0,Nc1cccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)n1
B3DB_163,0,Cc1cc(Cl)ccc1NC1=NCCN1
B3DB_167,0,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2ccccc2)cc1
B3DB_171,0,CS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1
B3DB_175,0,C=C(C)C(=O)/C(=C/C(=O)O)OC
B3DB_176,0,CCc1ccc(-n2cnc3c(sc4nccc(N(C)CCc5ccccn5)c43)c2=O)cc1
B3DB_177,0,CCn1nnc(NC(=O)C2c3ccccc3Oc3ccccc32)n1
B3DB_178,0,CN1CCN(Cc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)cc2)CC1
B3DB_183,0,Nc1ccn(C2CC(CO)C(CO)O2)c(=O)n1
B3DB_184,0,C=C(C)C(=O)/C(=C\C(=O)O)OC
B3DB_187,0,C/C=C/C(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N1C
B3DB_189,0,C/C=C/[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C
B3DB_193,0,Oc1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1
B3DB_202,0,Cc1cn(C2CC(N=[N+]=N)C(CO)O2)c(=O)[nH]c1=O
B3DB_203,0,Cc1cn(C2CC(NN=N)C(CO)O2)c(=O)[nH]c1=O
B3DB_204,0,Cc1cn([C@@H]2C[C@H](N=[N+]=[N-])[C@H](CO)O2)c(=O)[nH]c1=O
B3DB_208,0,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
B3DB_211,0,CC1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CCC1(C(=O)O)c1ccccc1
B3DB_212,0,CC1N=C(N)Nc2cccc(Cl)c21
B3DB_213,0,CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC
B3DB_214,0,CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](CSc6nncn6C)(c6ccc(Cl)cc6)O5)cc4)CC3)cc2)c1=O
B3DB_216,0,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
B3DB_226,0,NC(=O)c1cnn(C2OC(CO)C(O)C2O)n1
B3DB_227,0,Nc1cc(N)c(N)cc1N
B3DB_233,0,Cc1cccc(COc2cccc(/C=C3\C(=O)NN(c4ccccc4)C3=O)c2)c1
B3DB_234,0,O=C1NCC(c2ccccc2)C2(CCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)O1
B3DB_236,0,Cc1ccc(NC2=NCCN2)c(Cl)c1
B3DB_240,0,CC(=O)N1CCN(c2ccc(OCC3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
B3DB_244,0,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1
B3DB_248,0,COc1ccc2c3c1O[C@H]1[C@H](O)CC[C@@]4(O)C(C2)N(C)CC[C@]314
B3DB_252,0,Cc1nc(N2CCc3ccccc3CC2)c([N+](=O)[O-])c(=O)[nH]1
B3DB_254,0,O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1ccc2ccn(CCN3CCCC3)c2c1
B3DB_255,0,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1
B3DB_257,0,Oc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1
B3DB_258,0,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1
B3DB_259,0,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
B3DB_260,0,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
B3DB_261,0,CN1CN(c2ccc(Br)cc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O
B3DB_262,0,CC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)cc1
B3DB_271,0,COc1cc(/C=C/C(=O)NCCn2c(C)cc3ccccc32)cc(OC)c1OC
B3DB_274,0,O=c1[nH]c2ccc([S+]([O-])CCN3CCC(Cc4ccc(F)cc4)CC3)cc2o1
B3DB_277,0,O=C(CF)NCCCCCC(=O)Nc1ccccc1
B3DB_283,0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1
B3DB_285,0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
B3DB_293,0,CC(C)(C)NC(=O)[C@@]1(c2c(C(=O)O)[nH]c3cc(Cl)ccc23)N2C(=O)[C@]21c1ccc(OCc2ccc(Cl)cc2)cc1
B3DB_297,0,O=C(NCCN1CCN(c2cccc3c2OC[C@H](CO)O3)CC1)c1ccc(F)cc1
B3DB_312,0,CC1CN(Cc2ncccn2)CC1c1nc2c(cnn2C2CCOCC2)c(=O)[nH]1
B3DB_315,0,Cc1nc(NC(=O)C2c3ccccc3Oc3ccccc32)no1
B3DB_320,0,CC(C)(C)/[N+]([O-])=C/c1cc[n+]([O-])cc1
B3DB_323,0,CC(C)Oc1cccc(CC(=O)N2CCC[C@](CC[N+]34CCC(c5ccccc5)(CC3)CC4)(c3ccc(Cl)c(Cl)c3)C2)c1
B3DB_325,0,CN(C)S(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1
B3DB_329,0,CC(=O)O[C@H]1Cc2ccccc2[C@@H](C(N)=O)c2ccccc21
B3DB_332,0,NC(=O)N1c2ccccc2C2CC2c2ccccc21
B3DB_346,0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@H](F)[C@@H]2O
B3DB_350,0,CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H]1C(=O)O
B3DB_356,0,N#Cc1cc(C2=Nc3ccc(-c4ccccc4F)cc3NC(=O)C2)ccn1
B3DB_358,0,[Li]
B3DB_362,0,CN1C(=O)C2N=CN=C2N(C)C1=O
B3DB_363,0,CN1C(=O)C2NC=NC2N(C)C1=O
B3DB_376,0,C[C@@H]1NC(=O)C2(CCCC2)NC1=O
B3DB_379,0,CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(I)s3)CC2)C1=O
B3DB_382,0,NC(=O)c1ccccc1
B3DB_391,0,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCNC[C@@H]1OC
B3DB_399,0,C=C[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
B3DB_400,0,OCC(O)CO
B3DB_409,0,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
B3DB_418,0,CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1
B3DB_419,0,CCC(=O)N[C@@H]1C(=O)NC(=O)NC1=NC[C@H](O)[C@H](O)[C@H](O)CO
B3DB_424,0,C=CCc1cccc(/C=N\NC(=O)CN2CCN(Cc3ccccc3)CC2)c1O
B3DB_426,0,CC(N)C(=O)O
B3DB_429,0,COC(=O)[C@@H]1C(=O)C=C(Nc2cccc(OC(F)(F)F)c2)C[C@H]1C
B3DB_435,0,Cn1nnc2ccc([C@H](c3ccc(Cl)cc3)n3cncn3)cc21
B3DB_437,0,[Kr]
B3DB_438,0,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
B3DB_456,0,Cl/C=C\Cl
B3DB_459,0,CC(C)n1nnc(NC(=O)C2c3ccccc3Oc3ccccc32)n1
B3DB_460,0,CN1C[C@H](CCn2c3c(c4ccccc42)C(=O)NCC3)CC1=O
B3DB_478,0,Cc1cc(-c2cc(N)n3nc(-c4ccccn4)nc3c2)ccn1
B3DB_487,0,COC1/C=C\C=C(\C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(CC(C)CC(OC)C(O)C(C)/C=C(/C)C1OC(N)=O)C2=O
B3DB_495,0,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
B3DB_497,0,COc1cc2c(cc1OC)[C@H]1Cc3ccc(OC)c(OC)c3CN1CC2
B3DB_501,0,CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2
B3DB_502,0,Cn1cc(-c2ccncc2)c(-c2ccc(OCc3ccc4ccccc4n3)cc2)n1
B3DB_503,0,CN1C(=O)C2C(N=CN2C)N(C)C1=O
B3DB_509,0,O=c1cccc2n1C[C@H]1CNC(Br)[C@@H]2C1
B3DB_521,0,O
B3DB_536,0,CCN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O
B3DB_542,0,CC(C)(C)/[N+]([O-])=C/c1ccccc1
B3DB_545,0,C
B3DB_548,0,CC(C)CC(N)C(=O)O
B3DB_558,0,N#Cc1c(N2CCc3ccccc3CC2)ncn(CCO)c1=O
B3DB_559,0,NC(=Nc1ccccc1)Nc1ccccc1
B3DB_563,0,C[C@H](Nc1cc(-c2c(-c3cccc(C(F)(F)F)c3)nc(C3CCNCC3)n2C)ccn1)c1ccccc1
B3DB_565,0,C=CCOc1ccccc1OCC(O)CNC(C)C
B3DB_568,0,O=C(CC1=NC2NN(c3ccccc3)C(=O)C2=C1CC(=O)c1cccc2ccccc12)c1cccc2ccccc12
B3DB_570,0,[Ar]
B3DB_573,0,N#[N+]O
B3DB_574,0,NN
B3DB_575,0,[Xe]
B3DB_582,0,CCn1c(C)nc(N2CCc3ccccc3CC2)c([N+](=O)[O-])c1=O
B3DB_586,0,N[C@@H](Cc1ccc(B(O)O)cc1)C(=O)O
B3DB_588,0,CN1C(=O)NC2=NCN(C)C2C1=O
B3DB_591,0,CCCN(CCC)c1cc(C)nc2c(-c3cnc(N(C)C)cc3C)c(C)nn12
B3DB_598,0,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)[C@@H]1N2C
B3DB_599,0,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
B3DB_605,0,O=C(O)c1ccccc1C(=O)OC1CCc2ccccc2C1
B3DB_622,0,CN1C2=C3N=c4ccccc4=C3CCN2C(=O)c2ccccc21
B3DB_628,0,Clc1cccc(Cl)c1N[C@@H]1N=CCN1
B3DB_633,0,CCC[C@@H](C)C1(CC)C(=O)NC(=O)NC1=O
B3DB_636,0,FC=COC=CF
B3DB_642,0,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O
B3DB_644,0,CC(O)C(=O)O
B3DB_651,0,N#Cc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1
B3DB_654,0,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCNC2
B3DB_658,0,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccc(F)cc3)c3ccccc3)C(C)=C1C2(C)C
B3DB_669,0,CN(C)Cc1ccccc1Sc1cc(F)c(Cl)cc1N
B3DB_671,0,COCCn1c(C)nc(N2CCC(c3ccc(F)cc3)CC2)c([N+](=O)[O-])c1=O
B3DB_674,0,FC(F)OC(F)(F)[C@H](F)Cl
B3DB_675,0,[Ne]
B3DB_683,0,CN1[C@H]2CC(OC(=O)C(CO)c3ccccc3)C[C@H]1[C@H]1O[C@@H]21
